case,val_index,finding_id,category,row,model,policy,dice,hit,gt_voxels,pred_voxels,tp,fp,fn,pp3_route_corrected
train_13481_a_2.nii.gz,8,0,2b,category_best,exp013_category_2all_focal_target100_e100,pp3_fine20_corrected_routes,0.6119223844781475,True,123773,186165,94829,91336,28944,False
train_13481_a_2.nii.gz,8,0,2b,iso07_best,exp017_cont_e050_abs_e150,raw,0.5678332280498302,True,123773,113677,67416,46261,56357,False
train_13481_a_2.nii.gz,8,0,2b,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.5746628705884436,True,123773,110855,67416,43439,56357,False
train_13481_a_2.nii.gz,8,0,2b,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.5678332280498302,True,123773,113677,67416,46261,56357,False
train_13481_a_2.nii.gz,8,1,2b,overall_best,exp007_cont_e050_abs_e150,raw,0.737541657704035,True,532462,750614,473161,277453,59301,False
train_13481_a_2.nii.gz,8,1,2b,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,0.737541657704035,True,532462,750614,473161,277453,59301,False
train_13481_a_2.nii.gz,8,1,2b,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.737541657704035,True,532462,750614,473161,277453,59301,False
train_13481_a_2.nii.gz,8,1,2b,category_best,exp013_category_2all_focal_target100_e100,raw,0.778219571812054,True,532462,723528,488718,234810,43744,False
train_13481_a_2.nii.gz,8,1,2b,category_best,exp013_category_2all_focal_target100_e100,pp2_whole_lung20,0.778219571812054,True,532462,723528,488718,234810,43744,False
train_13481_a_2.nii.gz,8,1,2b,category_best,exp013_category_2all_focal_target100_e100,pp3_fine20_corrected_routes,0.778219571812054,True,532462,723528,488718,234810,43744,False
train_13481_a_2.nii.gz,8,1,2b,iso07_best,exp017_cont_e050_abs_e150,raw,0.7563018950339431,True,532462,648889,446729,202160,85733,False
train_13481_a_2.nii.gz,8,1,2b,iso07_best,exp017_cont_e050_abs_e150,pp2_whole_lung20,0.7563018950339431,True,532462,648889,446729,202160,85733,False
train_13481_a_2.nii.gz,8,1,2b,iso07_best,exp017_cont_e050_abs_e150,pp3_fine20_corrected_routes,0.7563018950339431,True,532462,648889,446729,202160,85733,False
train_13481_a_2.nii.gz,8,2,2c,overall_best,exp007_cont_e050_abs_e150,raw,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
train_13481_a_2.nii.gz,8,2,2c,overall_best,exp007_cont_e050_abs_e150,pp2_whole_lung20,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
train_13481_a_2.nii.gz,8,2,2c,overall_best,exp007_cont_e050_abs_e150,pp3_fine20_corrected_routes,2.662024096635036e-12,False,36225,339429,0,339429,36225,False
