method_family	model_id	result_dir	checkpoint	mean_dice	hits	hit_rate	raw_like	result_hash	dice_2a	dice_2b	dice_2c	dice_2d
nonattention_baseline_selection	nonattention_baseline_selection__full381_update10000__f9c103ca	outputs/nonattention_baseline_selection/full381_update10000	/common/lidxxlab/chushu/RexGroundingCT/outputs/voxtell_v11_e1e-5_d1e-4_1gpu_bs1_acc4_10kupd/checkpoints/checkpoint_update_10000.pth	0.3344536714262334	292	0.7664041994750657	True	f9c103ca318c9aa523175eb9761b0e482fb6d032ce56e9b3f805753c0c57dc02	0.3339566468742799	0.3418389194020353	0.3762116053675713	0.3799499342767214
b3_plus_less_v11	b3_plus_less_v11__b3_plus_less_update5000__8dc6626e	outputs/b3_plus_less_v11/full200/b3_plus_less_update5000	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_plus_less_v11/checkpoints/checkpoint_update_5000.pth	0.334277122102467	292	0.7664041994750657	True	8dc6626e918b45afcff2a33722a38b5b5738c365a3f6e65dbfa0313323540cb1	0.3331687476542047	0.3457470793523562	0.4037973111859986	0.3710897476204506
s3_low_lr_full200_every1000	s3_low_lr_full200_every1000__update_08000__be24d0fc	outputs/s3_low_lr_full200_every1000/results/strict2b2c_low_lr_from_u5000/update_08000	/common/lidxxlab/chushu/RexGroundingCT/outputs/s3_multiscale_strict2b2c_from_u5000_e1e-6_d1e-5_s3e1e-5_to10kupd/voxtell_compatible_models/strict2b2c_low_lr_from_u5000_update8000/fold_0/checkpoint_final.pth	0.33336840230822057	295	0.7742782152230971	True	be24d0fc320a43283cd1524ee2366d456a222e4016cac3741f2ef608a89cc223	0.3367278771650417	0.362090748761266	0.3717996873391725	0.3715006433067985
segmote_voxtell_m0_mote_v11_5k	segmote_voxtell_m0_mote_v11_5k__segmote_m0_update3400_thr0p40_full200__f3a82624	outputs/segmote_voxtell_m0_mote_v11_5k/full200_threshold_sweep/segmote_m0_update3400_thr0p40_full200	/common/lidxxlab/chushu/RexGroundingCT/outputs/segmote_voxtell_m0_mote_v11_5k/checkpoints/checkpoint_update_3400.pth	0.33333576270309506	289	0.7585301837270341	True	f3a82624a43ce9469ad5365ad2f9dc2742c116a90bceddf7651c581c08538993	0.3211580292955654	0.3592689847803641	0.3931848977347591	0.3813306578969292
word_global_v11_0to2000	word_global_v11_0to2000__b3_u4000__4a367e79	outputs/word_global_v11_0to2000/full200_best_and_u4000/b3_u4000	/common/lidxxlab/chushu/RexGroundingCT/outputs/word_global_v11_0to2000/B3_candidates_global_router/checkpoints/checkpoint_update_4000.pth	0.3327853880592859	295	0.7742782152230971	True	4a367e790a531faaedf2084e5d3d0b67905d3d798ee76793cfaf7f693ba874cf	0.3390199430965784	0.3482394362278206	0.379223584821213	0.3766133161120665
c2_less_semantic_coadapt_v11	c2_less_semantic_coadapt_v11__pathology_continue_update_7600__41e10d95	outputs/c2_less_semantic_coadapt_v11/p_pathology_continue_full200_selected/full_validation/pathology_continue_update_7600	/common/lidxxlab/chushu/RexGroundingCT/outputs/c2_less_semantic_coadapt_v11/p_pathology_continue_5000_to10000_corrected/checkpoints/checkpoint_update_7600.pth	0.33231951750051825	284	0.7454068241469817	True	41e10d95e343481c8dbcb148f1ea4aa7bfcfad56af1ccbf08004e320e571e1f9	0.3432306621512351	0.3487259841792081	0.3769443512697888	0.3674517517729554
b3_plus_less_v11_continue_5000_to8000	b3_plus_less_v11_continue_5000_to8000__b3_plus_less_update6600__205993e8	outputs/b3_plus_less_v11_continue_5000_to8000/full200_selected/b3_plus_less_update6600	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_plus_less_v11_continue_5000_to8000/checkpoints/checkpoint_update_6600.pth	0.3317305247133273	290	0.7611548556430446	True	205993e815cfeab384bb6a0a804dd7cddb02576c17e5edf6b956ae0d6772f518	0.3140844669071766	0.3594140283773	0.3784816238097266	0.3763394756973115
b3_plus_less_v11_continue_8000_to10000	b3_plus_less_v11_continue_8000_to10000__b3_plus_less_update9200__30b60db1	outputs/b3_plus_less_v11_continue_8000_to10000/full200/b3_plus_less_update9200	/common/lidxxlab/chushu/RexGroundingCT/outputs/b3_plus_less_v11_continue_8000_to10000/checkpoints/checkpoint_update_9200.pth	0.3316679300687309	292	0.7664041994750657	True	30b60db184d07622ace19d9c843cbad119b0e4569c8298aff2c74c3024c9deae	0.335241658127145	0.3538774357565889	0.3843066769158904	0.3649748487596348
qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000	qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000__update_07400__82d735f1	outputs/qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000/full200_selected/update_07400	/common/lidxxlab/chushu/RexGroundingCT/outputs/qwen_lora_top6_global_from_v11_low_lr_e1e-6_d1e-5_from_u5000/checkpoints/checkpoint_update_7400.pth	0.3294091734811572	290	0.7611548556430446	True	82d735f12815c9172113b293f742ec6e8e45c072e8672114f7bbbb5d9e6f627e	0.328278194575393	0.3673851430897609	0.3844488376748095	0.359573225449048
attention_scale_screen_matched_comparison	attention_scale_screen_matched_comparison__base_update6000__b7f764fa	outputs/attention_scale_screen_matched_comparison/full381/base_update6000		0.3289252128343666	290	0.7611548556430446	True	b7f764fa52068b46be63308db4f66a922a10d367436bda62f0dc46d64396c0d3	0.3190960661831388	0.3653455285760879	0.3903007778262166	0.3610201661858183
